what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420742550522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420742552916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420742554494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420742574667
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420742576683
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420742576808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420742607141
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1420742629110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420742652529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420742652806
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1420757650013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420757672796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420757685363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420757694148
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420757696731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420771483468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420771510876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420771512001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420771512861
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420771513095
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1420771514345
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1420771514361
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1420771514408
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1421618481254
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1421618481256
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1421618481257
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1421618481257
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1421618481258
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1421618481258
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1421618481260
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1421618481261
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1421618481261
