what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1421847184342
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1421847220699
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1421847221074
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1421847221121
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1421847221371
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1421847221590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847222840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847224090
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1421847225526
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1421847225557
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1421847225932
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1421847226010
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1421847226088
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1421847226135
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1421847226151
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1421847226307
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1421847226307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847229061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847233046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847240454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847241329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847242824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847247049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847252410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847253332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847255037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847260751
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421847262387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1421847269811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847272780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1421847275186
