what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1420595267938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595268220
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595271110
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420595272829
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1420595272892
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1420595272939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1420595277814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595282549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595288098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595288161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595290131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1420595290163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595291881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595293178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595293695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595311277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595314876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595315767
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595315798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595317939
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1420595318064
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1420595318355
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1420595318527
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1420595318527
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1420595318527
